Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,1.0,2020-02-06,81.30249786376953,0.08130249786376953,2020-02-18,79.75,0.07975,1.3914453659057617,0.01711442332604919,Short,Closed,0
1,0,1.0,2020-02-24,74.54499816894531,0.07454499816894532,2020-03-31,63.5724983215332,0.06357249832153321,-11.11061734390259,-0.14904577928517757,Long,Closed,1
2,0,1.0,2020-04-13,68.3125,0.0683125,2020-07-27,94.80999755859376,0.09480999755859376,-26.66062005615236,-0.39027440155392296,Short,Closed,2
3,0,1.0,2020-07-31,106.26000213623048,0.10626000213623049,2020-09-03,120.87999725341795,0.12087999725341796,-14.84713511657712,-0.13972458891486159,Short,Closed,3
4,0,1.0,2020-09-18,106.83999633789062,0.10683999633789062,2020-09-28,114.95999908447266,0.11495999908447266,7.898202751159667,0.07392552435307959,Long,Closed,4
5,0,1.0,2020-10-12,124.4000015258789,0.1244000015258789,2020-10-19,115.9800033569336,0.11598000335693359,8.1796181640625,0.06575255678241207,Short,Closed,5
6,0,1.0,2020-10-28,111.1999969482422,0.1111999969482422,2020-11-09,116.31999969482422,0.11631999969482422,4.89248274993895,0.04399714823927689,Long,Closed,6
7,0,1.0,2020-12-01,122.72000122070312,0.12272000122070313,2021-01-11,128.97999572753906,0.12897999572753907,-6.511694503784179,-0.05306139536352647,Short,Closed,7
8,0,1.0,2021-01-21,136.8699951171875,0.1368699951171875,2021-01-29,131.9600067138672,0.13196000671386718,4.641158401489258,0.03390924648982063,Short,Closed,8
9,0,1.0,2021-02-17,130.83999633789062,0.13083999633789062,2021-03-15,123.98999786376952,0.12398999786376952,-7.104828468322768,-0.054301655970508796,Long,Closed,9
10,0,1.0,2021-04-05,125.9000015258789,0.1259000015258789,2021-05-03,132.5399932861328,0.1325399932861328,-6.898431755065918,-0.05479294417361811,Short,Closed,10
11,0,1.0,2021-05-04,127.8499984741211,0.1278499984741211,2021-06-04,125.88999938964844,0.12588999938964843,-2.2137390823364256,-0.017315127952735345,Long,Closed,11
12,0,1.0,2021-06-14,130.47999572753906,0.13047999572753907,2021-07-28,144.97999572753906,0.14497999572753906,-14.775459991455078,-0.11323927402870519,Short,Closed,12
13,0,1.0,2021-08-12,148.88999938964844,0.14888999938964845,2021-08-26,147.5399932861328,0.14753999328613282,1.0535761108398438,0.007076204682375018,Short,Closed,13
14,0,1.0,2021-08-30,153.1199951171875,0.1531199951171875,2021-09-17,146.05999755859375,0.14605999755859375,6.760817565917969,0.04415372114362794,Short,Closed,14
15,0,1.0,2021-09-17,146.05999755859375,0.14605999755859375,2021-10-18,146.5500030517578,0.1465500030517578,0.19739549255371092,0.001351468546167292,Long,Closed,15
16,0,1.0,2021-10-18,146.5500030517578,0.1465500030517578,2021-11-15,150.0,0.15,-3.7465469512939453,-0.02556497354674744,Short,Closed,16
17,0,1.0,2021-11-17,153.49000549316406,0.15349000549316408,2021-12-20,169.75,0.16975,-16.583234512329103,-0.10804113570161847,Short,Closed,17
18,0,1.0,2022-01-03,182.0099945068359,0.18200999450683591,2022-01-11,175.0800018310547,0.17508000183105468,6.572902679443331,0.03611286675356977,Short,Closed,18
19,0,1.0,2022-01-18,169.8000030517578,0.16980000305175783,2022-01-28,170.3300018310547,0.17033000183105468,0.18986877441406252,0.0011181906419411984,Long,Closed,19
20,0,1.0,2022-02-23,160.07000732421875,0.16007000732421875,2022-03-17,160.6199951171875,0.1606199951171875,0.22929779052734378,0.0014324844132911512,Long,Closed,20
21,0,1.0,2022-03-22,168.82000732421875,0.16882000732421876,2022-04-08,170.08999633789062,0.17008999633789063,-1.6088990173339843,-0.009530262691222934,Short,Closed,21
22,0,1.0,2022-04-18,165.07000732421875,0.16507000732421875,2022-05-27,149.63999938964844,0.14963999938964845,-15.744717941284181,-0.09538206362564416,Long,Closed,22
23,0,1.0,2022-06-10,137.1300048828125,0.1371300048828125,2022-06-24,141.66000366210938,0.14166000366210937,4.251208770751953,0.03100130255508208,Long,Closed,23
24,0,1.0,2022-07-07,146.35000610351562,0.14635000610351562,2022-08-22,167.57000732421875,0.16757000732421876,-21.533921234130858,-0.14713987247051827,Short,Closed,24
25,0,1.0,2022-08-29,161.3800048828125,0.1613800048828125,2022-09-12,163.42999267578125,0.16342999267578126,1.7251777954101564,0.0106901582799115,Long,Closed,25
26,0,1.0,2022-09-23,150.42999267578125,0.15042999267578125,2022-10-18,143.75,0.14375000000000002,-6.974172668457031,-0.046361583514055775,Long,Closed,26
27,0,1.0,2022-10-25,152.33999633789062,0.15233999633789064,2022-11-02,145.02999877929688,0.14502999877929687,7.0126275634765625,0.04603274079068855,Short,Closed,27
28,0,1.0,2022-11-09,134.8699951171875,0.1348699951171875,2022-11-21,148.00999450683594,0.14800999450683594,12.857119400024414,0.09532972392304873,Long,Closed,28
29,0,1.0,2022-12-15,136.5,0.1365,2023-01-20,137.8699951171875,0.1378699951171875,1.0956251220703124,0.00802655767084478,Long,Closed,29
30,0,1.0,2023-01-20,137.8699951171875,0.1378699951171875,2023-02-21,148.47999572753906,0.14847999572753906,-10.89635060119629,-0.07903351698775755,Short,Closed,30
31,0,1.0,2023-03-01,145.30999755859375,0.14530999755859375,2023-03-03,151.02999877929688,0.15102999877929688,5.423661224365234,0.03732476302725307,Long,Closed,31
32,0,1.0,2023-03-16,155.85000610351562,0.15585000610351563,2023-04-11,160.8000030517578,0.16080000305175782,-5.2666469573974615,-0.033793049413802095,Short,Closed,32
33,0,1.0,2023-04-19,167.6300048828125,0.16763000488281252,2023-04-25,163.77000427246094,0.16377000427246094,3.528600601196289,0.021049934369822863,Short,Closed,33
34,0,1.0,2023-04-27,168.41000366210938,0.16841000366210937,2023-05-04,165.7899932861328,0.1657899932861328,2.2858103790283204,0.013572889551231603,Short,Closed,34
35,0,1.0,2023-05-05,173.57000732421875,0.17357000732421876,2023-05-23,171.55999755859375,0.17155999755859375,1.6648797607421875,0.009591978397697987,Short,Closed,35
36,0,1.0,2023-05-30,177.3000030517578,0.1773000030517578,2023-07-11,188.0800018310547,0.1880800018310547,-11.14537878417969,-0.06286169538827421,Short,Closed,36
37,0,1.0,2023-07-17,193.9900054931641,0.19399000549316409,2023-08-02,192.5800018310547,0.1925800018310547,1.0234336547851848,0.00527570300430374,Short,Closed,37
38,0,1.0,2023-08-04,181.9900054931641,0.1819900054931641,2023-08-23,181.1199951171875,0.18111999511718752,-1.2331203765869425,-0.006775758774474354,Long,Closed,38
39,0,1.0,2023-08-30,187.6499938964844,0.1876499938964844,2023-09-11,179.36000061035156,0.17936000061035157,7.9229832916260055,0.04222213455544611,Short,Closed,39
40,0,1.0,2023-10-09,178.99000549316406,0.17899000549316407,2023-10-18,175.83999633789062,0.17583999633789063,2.795179153442383,0.015616397942113789,Short,Closed,40
41,0,1.0,2023-10-26,166.88999938964844,0.16688999938964844,2023-11-01,173.97000122070312,0.17397000122070314,6.739141830444336,0.0403807409376882,Long,Closed,41
42,0,1.0,2023-11-07,181.82000732421875,0.18182000732421874,2023-12-22,193.6000061035156,0.1936000061035156,-12.155418792724582,-0.06685413212556536,Short,Closed,42
